Company Name,Membership Number,Membership Type,Company Size,Training Credit Hours,City,Region,Organization Mobile Number,Organization Email,Address,Interests
Gulf Pioneers Trading Company,280728074,Saudi Contractor,Medium Company Size,9 h,RIYADH,Riyadh,0112885557,Acc@Gpksa.Com,"ALtahlia Street
Olaya
Riyadh
54355
11514","Construction of buildings, Construction of buildings, Construction of all types of residential buildings, Construction of all types of non-residential buildings such as airport buildings, Construction of all types of non-residential steel buildings, Remodeling or renovating existing residential and non- residential structures, Civil engineering, Construction of utility projects, Long-distance pipelines, communication and power lines, Construction and repair of sewer systems, sewage disposal plants and pumping stations, Specialized construction activities, Electrical installation, Telecommunications wiring, Network wiring, Installation of satellite dishes, Installation of computer network and cable television wiring"
Ratel Al Sharq Contracting Company,101010104,Saudi Contractor,Small Company Size,0 h,RIYADH,Riyadh,0542332224,Adel_77@Hotmail.Com,Riyadh - Al Narjis District - Anas Bin Malik Road,"Construction of buildings, Construction of buildings, Construction of all types of residential buildings, Construction of all types of non-residential buildings including schools, hospitals, hotels … etc., Erection of prefabricated constructions on the site, Remodeling or renovating existing residential and non- residential structures, Specialized construction activities, Electrical installation, Electrical wiring, Telecommunications wiring, Installation of fire alarms, Connecting of electric appliances and household equipment, including baseboard heating, Plumbing, heat and air-conditioning installation, Installation, maintenance and repair of plumbing and sanitary equipment, Installation, maintenance and repair of refrigeration or air-conditioning equipment, Building completion and finishing, Building finishing, Installation of decor"
Bunoon Wa Funoon Contracting Co.,138113818,Saudi Contractor,Small Company Size,41 h,RIYADH,Riyadh,920015058,Info@Bfconst.Com,"6394, Al Olaya
3891, Al Olaya Dist.
RIYADH
12211
Kingdom of Saudi Arabia","Construction of buildings, Construction of buildings, Construction of all types of residential buildings, Construction of all types of non-residential buildings including schools, hospitals, hotels … etc., Specialized construction activities, Building completion and finishing, Building finishing, Services to buildings and landscape activities, Combined facilities support activities, Provision of maintenance services within facilities, Activities of government buildings cleaning services"
Al-Wessam Contracting Company,106110611,Saudi Contractor,Small Company Size,93 h,BILJURASHI,Bahah,0505643337,Alwessam7@Gmail.Com,Al Wessam Contracting Company,"Mining support services, Oil and natural gas extraction support activities, Drilling of oil fields, Drilling of natural gas fields, Services related to oil extraction except surveying services, Services related to natural gas extraction except surveying services, Other activities related to oil and natural gas extraction support activities, Waste collection, treatment & disposal activities; materials recovery, Collection of non-hazardous waste, Transfer of municipal waste, Street cleaning, Collection of recyclable materials, Other non-hazardous waste collection activities, Municipal waste collection services, Transfer of non-hazardous industrial waste, Used cooking oil collection, Collection of hazardous waste, Collection of hazardous waste, such as used oil from shipment or garages, Collection of hazardous waste, such as bio-hazardous waste, Collection of hazardous waste, such as used batteries, Operation of waste transfer stations for hazardous waste, Collection of other types of hazardous waste, Collection and transfer of hazardous wastes of used oils from producers of such wastes, Transfer of hazardous medical waste, Collection and transfer of waste resulting from the control and cleaning work of the marine and coastal environment, Transfer of hazardous wastes, Transfer of asbestos wastes, Transfer of oil from one watercraft to another within the sea or from offshore oil collection sites in cases of contamination, Construction of buildings, Construction of buildings, Construction of all types of residential buildings, Construction of all types of non-residential buildings including schools, hospitals, hotels … etc., Construction of all types of non-residential buildings such as airport buildings, Construction of all types of non-residential steel buildings, Construction of all types of other not previously mentioned non-residential buildings, Erection of prefabricated constructions on the site, Remodeling or renovating existing residential and non- residential structures, Civil engineering, Construction of roads and railways, Construction and repair of motorways, streets, roads, other vehicular and pedestrian ways, Construction and repair of bridges or tunnels, Construction and repair of railways and subways, Other construction activities of roads, bridges, tunnels and railways n.e.c., Repair and maintenance of motorways, streets, roads, other vehicular and pedestrian ways, Repair and maintenance of bridges or tunnels, Repair and maintenance of railways and subways, Construction of utility projects, Long-distance pipelines, communication and power lines, Long-distance oil and gas pipelines, Establishment and Maintenance of main lines and stations of water distribution, Construction and repair of irrigation systems (canals)and main reservoirs, and drilling and maintenance of water wells, Construction and repair of sewer systems, sewage disposal plants and pumping stations, Construction, erection and repair of power plants, Construction, erection and repair of wired and wireless communication stations and radars, Other utility projects construction activities n.e.c., Repair and maintenance of water distribution stations, networks and main lines, Construction and repair of irrigation systems (canals), water main storage towers and water wells drilling, Repair and maintenance of sewer systems, sewage disposal plants and pumping station, Construction, erection and repair of power plants, Repair and maintenance of wired and wireless communication stations and radars, Construction of other civil engineering projects, Construction of refineries and petrochemical plants, Construction of harbor and river works, Construction of pleasure ports (marinas), Construction of dams, Dredging of waterways, Construction of dykes, Other construction works, other than buildings, such as outdoor sports facilities, land subdivision with land improvement (e.g. adding of roads, utility infrastructure etc.), Repair and maintenance of dams, Repair and maintenance of port piers and marine facilities, Specialized construction activities, Demolition, Demolition or wrecking of buildings and other structures, Other demolition activities, Site preparation, Drilling and earth moving for site preparation purposes, Landfill, Building site drainage, Blasting, Other site preparation activities, Electrical installation, Electrical wiring, Telecommunications wiring, Network wiring, Other electrical and telecommunications wiring activities, Installation of satellite dishes, Installation of computer network and cable television wiring, Other computer network and cable television wiring installation activities, Installation of lighting systems, Installation of fire alarms, Installation of burglar alarm systems, Other lighting systems, fire alarms and burglar alarm systems installation activities, Installation of street lighting and airport runway lighting, Connecting of electric appliances and household equipment, including baseboard heating, Other types of electrical installation, Installation and maintenance of fire alarms devices and equipment, Installation of burglar alarm systems, Installation and maintenance of safety devices, Installation and maintenance of traffic safety devices, Other lighting systems, fire alarms and burglar alarm systems installation activities, Plumbing, heat and air-conditioning installation, Installation, maintenance and repair of heating systems (electric, gas and oil), Installation, maintenance and repair of solar energy collectors, Installation, maintenance and repair of plumbing and sanitary equipment, Installation, maintenance and repair of refrigeration or air-conditioning equipment, Installation, maintenance and repair of gas fittings, Installation, maintenance and repair of steam piping, Installation, maintenance and repair of fire sprinkler systems, Installation, maintenance and repair of lawn sprinkler systems, Installation, maintenance and repair of other gas fittings, steam piping, fire sprinkler systems and lawn sprinkler systems n.e.c., Installation, maintenance and repair of air- conditioning ducts, Other installation, maintenance and repair activities n.e.c., Other construction installation, Installation, repair and maintenance of elevators and escalators, Installation, repair and maintenance of automated and revolving doors, Installation, repair and maintenance of lightning conductors, Installation, repair and maintenance of vacuum cleaning systems, Installation, repair and maintenance of thermal, sound or vibration insulation, Other not previously mentioned construction installation, repair and maintenance activities, Installation and maintenance of elevators, Installation, repair and maintenance of escalators, conveyor and ground belts, Installation, repair and maintenance of thermal, sound or vibration insulation, Installation and repair of civil protection devices such as heavy equipment used to control earth quicks and buildings collapse and ways of individual protection, Installation and maintenance of early warning sirens and control centers, Installation and maintenance of fire equipment, Installing and maintaining storage and shelves solutions, Building completion and finishing, Building finishing, Installation of doors (except automated and revolving), windows, door and window frames, fitted kitchens, staircases of wood, Installation of doors (except automated and revolving), windows, door and window frames, fitted kitchens, staircases of aluminum, Installation of doors (except automated and revolving), windows, door and window frames, fitted kitchens, staircases of steel, Installation of doors (except automated and revolving), windows, door and window frames, fitted kitchens, staircases of other not previously mentioned materials, Interior completion such as ceilings, wooden wall coverings, movable partitions, etc., Installation of ceramic, Installation of marble, Installation of cut stone tiles, Installation of granite, Other ceramic, concrete, cut stone, terrazzo, marble, granite or slate wall or floor tiles installation activities, Parquet and other wooden floor coverings, Carpets and linoleum floor coverings, including of rubber or plastic, Other types of floor coverings, Installation of decor, Installation of wallpaper, Other decor and wallpaper installation activities, Works of plaster or stucco, Interior and exterior painting of buildings, Painting of civil engineering structures, Other works of plaster or stucco, and painting, Installation of glass, mirrors of buildings, Exterior glass installation of towers, Other glass, mirrors installation activities, Cleaning of new buildings after construction, Interior installation of shops, mobile homes, boats etc., Installation of furniture, Other building completion work, Other specialized construction activities, Bricklaying, Stone setting, Other bricklaying and stone setting work, Scaffolds erecting, Construction of outdoor swimming pools, Steam cleaning, sand blasting and similar activities for building exteriors, Renting of cranes with operator, Other specialized building completion and finishing activities necessitating specialized skills and the use of related equipment n.e.c., Services to buildings and landscape activities, Combined facilities support activities, Provision of support services within facilities, Provision of general interior cleaning services within facilities, Provision of maintenance services within facilities, Other facilities support activities n.e.c., Activities of government buildings cleaning services, Provision of mail routing services, General cleaning of buildings, General cleaning of buildings, Other building and industrial cleaning activities, Exterior cleaning of buildings, Specialized cleaning activities for buildings such as window cleaning, chimney cleaning, etc., Swimming pool cleaning and maintenance services, Disinfecting and exterminating activities, Cleaning of trains, buses, planes, etc., Cleaning of industrial machinery, Street sweeping and snow and ice removal, Other building and industrial cleaning activities n.e.c., Disinfection activities and pest and rodents control by fumes, Landscape care and maintenance service activities, Care and maintenance of parks and gardens for public housing, Care and maintenance of greenery for buildings (roof gardens, facade greenery, indoor gardens), Care and maintenance of parks and gardens for highway greenery, Care and maintenance of greenery for sports grounds (e.g. golf courses), Care and maintenance of greenery for stationary and flowing water (basins, ponds, swimming pools, watercourses and wet areas), Care and maintenance of plants for protection against noise, wind and erosion, Care and maintenance of other types of landscap n.e.c., Activities of landscape design services, Maintenance of land in order to keep it in good ecological condition"
TAKWEEN AND CONSTRUCTION,438043804,Saudi Contractor,Very Small Company Size,0 h,RIYADH,Riyadh,0503047700,B2B@Tbco.Com.Sa,.,"Construction of buildings, Construction of buildings, Construction of all types of residential buildings, Construction of all types of non-residential buildings including schools, hospitals, hotels … etc., Construction of all types of non-residential buildings such as airport buildings, Construction of all types of non-residential steel buildings, Construction of all types of other not previously mentioned non-residential buildings, Erection of prefabricated constructions on the site, Remodeling or renovating existing residential and non- residential structures, Civil engineering, Construction of roads and railways, Construction and repair of motorways, streets, roads, other vehicular and pedestrian ways, Construction and repair of bridges or tunnels, Construction and repair of railways and subways, Other construction activities of roads, bridges, tunnels and railways n.e.c., Repair and maintenance of motorways, streets, roads, other vehicular and pedestrian ways, Repair and maintenance of bridges or tunnels, Repair and maintenance of railways and subways, Construction of utility projects, Long-distance pipelines, communication and power lines, Long-distance oil and gas pipelines, Establishment and Maintenance of main lines and stations of water distribution, Construction and repair of irrigation systems (canals)and main reservoirs, and drilling and maintenance of water wells, Construction and repair of sewer systems, sewage disposal plants and pumping stations, Construction, erection and repair of power plants, Construction, erection and repair of wired and wireless communication stations and radars, Other utility projects construction activities n.e.c., Repair and maintenance of water distribution stations, networks and main lines, Construction and repair of irrigation systems (canals), water main storage towers and water wells drilling, Repair and maintenance of sewer systems, sewage disposal plants and pumping station, Construction, erection and repair of power plants, Repair and maintenance of wired and wireless communication stations and radars, Construction of other civil engineering projects, Construction of refineries and petrochemical plants, Construction of harbor and river works, Construction of pleasure ports (marinas), Construction of dams, Dredging of waterways, Construction of dykes, Other construction works, other than buildings, such as outdoor sports facilities, land subdivision with land improvement (e.g. adding of roads, utility infrastructure etc.), Repair and maintenance of dams, Repair and maintenance of port piers and marine facilities, Specialized construction activities, Demolition, Demolition or wrecking of buildings and other structures, Other demolition activities, Site preparation, Drilling and earth moving for site preparation purposes, Landfill, Building site drainage, Blasting, Other site preparation activities, Electrical installation, Electrical wiring, Telecommunications wiring, Network wiring, Other electrical and telecommunications wiring activities, Installation of satellite dishes, Installation of computer network and cable television wiring, Other computer network and cable television wiring installation activities, Installation of lighting systems, Installation of fire alarms, Installation of burglar alarm systems, Other lighting systems, fire alarms and burglar alarm systems installation activities, Installation of street lighting and airport runway lighting, Connecting of electric appliances and household equipment, including baseboard heating, Other types of electrical installation, Installation and maintenance of fire alarms devices and equipment, Installation of burglar alarm systems, Installation and maintenance of safety devices, Installation and maintenance of traffic safety devices, Other lighting systems, fire alarms and burglar alarm systems installation activities, Plumbing, heat and air-conditioning installation, Installation, maintenance and repair of heating systems (electric, gas and oil), Installation, maintenance and repair of solar energy collectors, Installation, maintenance and repair of plumbing and sanitary equipment, Installation, maintenance and repair of refrigeration or air-conditioning equipment, Installation, maintenance and repair of gas fittings, Installation, maintenance and repair of steam piping, Installation, maintenance and repair of fire sprinkler systems, Installation, maintenance and repair of lawn sprinkler systems, Installation, maintenance and repair of other gas fittings, steam piping, fire sprinkler systems and lawn sprinkler systems n.e.c., Installation, maintenance and repair of air- conditioning ducts, Other installation, maintenance and repair activities n.e.c., Other construction installation, Installation, repair and maintenance of elevators and escalators, Installation, repair and maintenance of automated and revolving doors, Installation, repair and maintenance of lightning conductors, Installation, repair and maintenance of vacuum cleaning systems, Installation, repair and maintenance of thermal, sound or vibration insulation, Other not previously mentioned construction installation, repair and maintenance activities, Installation and maintenance of elevators, Installation, repair and maintenance of escalators, conveyor and ground belts, Installation, repair and maintenance of thermal, sound or vibration insulation, Installation and repair of civil protection devices such as heavy equipment used to control earth quicks and buildings collapse and ways of individual protection, Installation and maintenance of early warning sirens and control centers, Installation and maintenance of fire equipment, Installing and maintaining storage and shelves solutions, Building completion and finishing, Building finishing, Installation of doors (except automated and revolving), windows, door and window frames, fitted kitchens, staircases of wood, Installation of doors (except automated and revolving), windows, door and window frames, fitted kitchens, staircases of aluminum, Installation of doors (except automated and revolving), windows, door and window frames, fitted kitchens, staircases of steel, Installation of doors (except automated and revolving), windows, door and window frames, fitted kitchens, staircases of other not previously mentioned materials, Interior completion such as ceilings, wooden wall coverings, movable partitions, etc., Installation of ceramic, Installation of marble, Installation of cut stone tiles, Installation of granite, Other ceramic, concrete, cut stone, terrazzo, marble, granite or slate wall or floor tiles installation activities, Parquet and other wooden floor coverings, Carpets and linoleum floor coverings, including of rubber or plastic, Other types of floor coverings, Installation of decor, Installation of wallpaper, Other decor and wallpaper installation activities, Works of plaster or stucco, Interior and exterior painting of buildings, Painting of civil engineering structures, Other works of plaster or stucco, and painting, Installation of glass, mirrors of buildings, Exterior glass installation of towers, Other glass, mirrors installation activities, Cleaning of new buildings after construction, Interior installation of shops, mobile homes, boats etc., Installation of furniture, Other building completion work, Other specialized construction activities, Bricklaying, Stone setting, Other bricklaying and stone setting work, Scaffolds erecting, Construction of outdoor swimming pools, Steam cleaning, sand blasting and similar activities for building exteriors, Renting of cranes with operator, Other specialized building completion and finishing activities necessitating specialized skills and the use of related equipment n.e.c., Services to buildings and landscape activities, Combined facilities support activities, Provision of support services within facilities, Provision of general interior cleaning services within facilities, Provision of maintenance services within facilities, Other facilities support activities n.e.c., Activities of government buildings cleaning services, Provision of mail routing services, General cleaning of buildings, General cleaning of buildings, Other building and industrial cleaning activities, Exterior cleaning of buildings, Specialized cleaning activities for buildings such as window cleaning, chimney cleaning, etc., Swimming pool cleaning and maintenance services, Disinfecting and exterminating activities, Cleaning of trains, buses, planes, etc., Cleaning of industrial machinery, Street sweeping and snow and ice removal, Other building and industrial cleaning activities n.e.c., Disinfection activities and pest and rodents control by fumes"
Alenjazat Contracting Company,10000937,Saudi Contractor,Medium Company Size,0 h,RIYADH,Riyadh,0112001858,Info@Alenjazat.Sa,Riyadh- Ishbeliah district- alimam abdullah bin saud road with alqubbah road,"Construction of buildings, Construction of buildings, Construction of all types of residential buildings, Civil engineering, Construction of roads and railways, Construction and repair of motorways, streets, roads, other vehicular and pedestrian ways, Construction and repair of bridges or tunnels, Construction of utility projects, Establishment and Maintenance of main lines and stations of water distribution, Construction and repair of sewer systems, sewage disposal plants and pumping stations, Services to buildings and landscape activities, General cleaning of buildings, General cleaning of buildings"
Arabian Towers Projects Contracting Company,220622064,Saudi Contractor,Medium Company Size,0 h,DAMMAM,Eastern Province,599999999,Atpcosecretary@Atpco-Sa.Com,Arabian Towers Projects Contracting Company-7676 Unit No. 7-Ad Dammam 32415-4120 Kingdom of Saudi Arabia,"Construction of buildings, Construction of buildings, Construction of all types of residential buildings"
Sharjah Development Contracting Co,144214428,Saudi Contractor,Small Company Size,0 h,AL KHOBAR,Eastern Province,0138141668,Alsharqimna@Gmail.Com,(ABABTAIN TOWER - ALAGRABIA -THIRD FLOOR - OFFICE NO. (301,"Construction of buildings, Construction of buildings, Construction of all types of residential buildings, Construction of all types of non-residential steel buildings, Remodeling or renovating existing residential and non- residential structures, Civil engineering, Construction of roads and railways, Construction and repair of motorways, streets, roads, other vehicular and pedestrian ways, Construction of utility projects, Long-distance pipelines, communication and power lines, Specialized construction activities, Demolition, Demolition or wrecking of buildings and other structures, Site preparation, Landfill, Electrical installation, Electrical wiring, Network wiring, Installation of fire alarms, Plumbing, heat and air-conditioning installation, Installation, maintenance and repair of plumbing and sanitary equipment, Building completion and finishing, Building finishing, Installation of marble, Installation of cut stone tiles, Interior and exterior painting of buildings, Painting of civil engineering structures, Exterior glass installation of towers, Other specialized construction activities, Bricklaying, Services to buildings and landscape activities, Landscape care and maintenance service activities, Activities of landscape design services"
Inmayoun Contracting Company,215421544,Saudi Contractor,Medium Company Size,3 h,RIYADH,Riyadh,0555090521,Inmayoun@Gmail.Com,abdelaziz,"Construction of buildings, Construction of buildings, Construction of all types of residential buildings, Construction of all types of non-residential buildings including schools, hospitals, hotels … etc., Construction of all types of non-residential buildings such as airport buildings, Construction of all types of non-residential steel buildings, Construction of all types of other not previously mentioned non-residential buildings, Erection of prefabricated constructions on the site, Remodeling or renovating existing residential and non- residential structures, Civil engineering, Construction of roads and railways, Construction and repair of motorways, streets, roads, other vehicular and pedestrian ways, Construction and repair of bridges or tunnels, Construction and repair of railways and subways, Other construction activities of roads, bridges, tunnels and railways n.e.c., Repair and maintenance of motorways, streets, roads, other vehicular and pedestrian ways, Repair and maintenance of bridges or tunnels, Repair and maintenance of railways and subways, Construction of utility projects, Long-distance pipelines, communication and power lines, Long-distance oil and gas pipelines, Establishment and Maintenance of main lines and stations of water distribution, Construction and repair of irrigation systems (canals)and main reservoirs, and drilling and maintenance of water wells, Construction and repair of sewer systems, sewage disposal plants and pumping stations, Construction, erection and repair of power plants, Construction, erection and repair of wired and wireless communication stations and radars, Other utility projects construction activities n.e.c., Repair and maintenance of water distribution stations, networks and main lines, Construction and repair of irrigation systems (canals), water main storage towers and water wells drilling, Repair and maintenance of sewer systems, sewage disposal plants and pumping station, Construction, erection and repair of power plants, Repair and maintenance of wired and wireless communication stations and radars, Construction of other civil engineering projects, Construction of refineries and petrochemical plants, Construction of harbor and river works, Construction of pleasure ports (marinas), Construction of dams, Dredging of waterways, Construction of dykes, Other construction works, other than buildings, such as outdoor sports facilities, land subdivision with land improvement (e.g. adding of roads, utility infrastructure etc.), Repair and maintenance of dams, Repair and maintenance of port piers and marine facilities, Specialized construction activities, Demolition, Demolition or wrecking of buildings and other structures, Other demolition activities, Site preparation, Drilling and earth moving for site preparation purposes, Landfill, Building site drainage, Other site preparation activities, Electrical installation, Electrical wiring, Telecommunications wiring, Network wiring, Other electrical and telecommunications wiring activities, Installation of satellite dishes, Installation of computer network and cable television wiring, Other computer network and cable television wiring installation activities, Installation of lighting systems, Installation of fire alarms, Installation of burglar alarm systems, Other lighting systems, fire alarms and burglar alarm systems installation activities, Installation of street lighting and airport runway lighting, Connecting of electric appliances and household equipment, including baseboard heating, Other types of electrical installation, Installation and maintenance of fire alarms devices and equipment, Installation of burglar alarm systems, Installation and maintenance of safety devices, Installation and maintenance of traffic safety devices, Other lighting systems, fire alarms and burglar alarm systems installation activities, Plumbing, heat and air-conditioning installation, Installation, maintenance and repair of heating systems (electric, gas and oil), Installation, maintenance and repair of solar energy collectors, Installation, maintenance and repair of plumbing and sanitary equipment, Installation, maintenance and repair of refrigeration or air-conditioning equipment, Installation, maintenance and repair of gas fittings, Installation, maintenance and repair of steam piping, Installation, maintenance and repair of fire sprinkler systems, Installation, maintenance and repair of lawn sprinkler systems, Installation, maintenance and repair of other gas fittings, steam piping, fire sprinkler systems and lawn sprinkler systems n.e.c., Installation, maintenance and repair of air- conditioning ducts, Other installation, maintenance and repair activities n.e.c., Building completion and finishing, Building finishing, Installation of doors (except automated and revolving), windows, door and window frames, fitted kitchens, staircases of wood, Installation of doors (except automated and revolving), windows, door and window frames, fitted kitchens, staircases of aluminum, Installation of doors (except automated and revolving), windows, door and window frames, fitted kitchens, staircases of steel, Installation of doors (except automated and revolving), windows, door and window frames, fitted kitchens, staircases of other not previously mentioned materials, Interior completion such as ceilings, wooden wall coverings, movable partitions, etc., Installation of ceramic, Installation of marble, Installation of cut stone tiles, Installation of granite, Other ceramic, concrete, cut stone, terrazzo, marble, granite or slate wall or floor tiles installation activities, Parquet and other wooden floor coverings, Carpets and linoleum floor coverings, including of rubber or plastic, Other types of floor coverings, Installation of decor, Installation of wallpaper, Other decor and wallpaper installation activities, Works of plaster or stucco, Interior and exterior painting of buildings, Painting of civil engineering structures, Other works of plaster or stucco, and painting, Installation of glass, mirrors of buildings, Exterior glass installation of towers, Other glass, mirrors installation activities, Cleaning of new buildings after construction, Interior installation of shops, mobile homes, boats etc., Installation of furniture, Other building completion work, Other specialized construction activities, Bricklaying, Stone setting, Other bricklaying and stone setting work, Scaffolds erecting, Construction of outdoor swimming pools, Steam cleaning, sand blasting and similar activities for building exteriors, Renting of cranes with operator, Other specialized building completion and finishing activities necessitating specialized skills and the use of related equipment n.e.c., Services to buildings and landscape activities, Combined facilities support activities, Provision of support services within facilities, Provision of general interior cleaning services within facilities, Provision of maintenance services within facilities, Other facilities support activities n.e.c., Activities of government buildings cleaning services, Provision of mail routing services, General cleaning of buildings, General cleaning of buildings, Other building and industrial cleaning activities, Exterior cleaning of buildings, Specialized cleaning activities for buildings such as window cleaning, chimney cleaning, etc., Swimming pool cleaning and maintenance services, Disinfecting and exterminating activities, Cleaning of trains, buses, planes, etc., Cleaning of industrial machinery, Street sweeping and snow and ice removal, Other building and industrial cleaning activities n.e.c., Disinfection activities and pest and rodents control by fumes, Landscape care and maintenance service activities, Care and maintenance of parks and gardens for public housing, Care and maintenance of greenery for buildings (roof gardens, facade greenery, indoor gardens), Care and maintenance of parks and gardens for highway greenery, Care and maintenance of greenery for sports grounds (e.g. golf courses), Care and maintenance of greenery for stationary and flowing water (basins, ponds, swimming pools, watercourses and wet areas), Care and maintenance of plants for protection against noise, wind and erosion, Care and maintenance of other types of landscap n.e.c., Activities of landscape design services, Maintenance of land in order to keep it in good ecological condition"
Dome Park Contracting Company,251725170,Saudi Contractor,Small Company Size,0 h,AL MUWAYH AL JADID,Makkah,0553518088,Vv.Com838@Icloud.Com,um aldom,"Construction of buildings, Construction of buildings, Construction of all types of residential buildings, Construction of all types of non-residential buildings including schools, hospitals, hotels … etc., Construction of all types of non-residential buildings such as airport buildings, Construction of all types of non-residential steel buildings, Construction of all types of other not previously mentioned non-residential buildings, Erection of prefabricated constructions on the site, Remodeling or renovating existing residential and non- residential structures, Specialized construction activities, Site preparation, Landfill, Other site preparation activities, Plumbing, heat and air-conditioning installation, Installation, maintenance and repair of plumbing and sanitary equipment, Other installation, maintenance and repair activities n.e.c., Building completion and finishing, Building finishing, Installation of doors (except automated and revolving), windows, door and window frames, fitted kitchens, staircases of wood, Installation of doors (except automated and revolving), windows, door and window frames, fitted kitchens, staircases of aluminum, Installation of doors (except automated and revolving), windows, door and window frames, fitted kitchens, staircases of steel, Installation of doors (except automated and revolving), windows, door and window frames, fitted kitchens, staircases of other not previously mentioned materials, Interior completion such as ceilings, wooden wall coverings, movable partitions, etc., Installation of ceramic, Installation of marble, Installation of cut stone tiles, Installation of granite, Other ceramic, concrete, cut stone, terrazzo, marble, granite or slate wall or floor tiles installation activities, Parquet and other wooden floor coverings, Carpets and linoleum floor coverings, including of rubber or plastic, Other types of floor coverings, Installation of decor, Installation of wallpaper, Other decor and wallpaper installation activities, Works of plaster or stucco, Interior and exterior painting of buildings, Painting of civil engineering structures, Other works of plaster or stucco, and painting, Installation of glass, mirrors of buildings, Exterior glass installation of towers, Other glass, mirrors installation activities, Cleaning of new buildings after construction, Interior installation of shops, mobile homes, boats etc., Installation of furniture, Other building completion work, Services to buildings and landscape activities, Combined facilities support activities, Activities of government buildings cleaning services, Provision of mail routing services, General cleaning of buildings, General cleaning of buildings, Other building and industrial cleaning activities, Exterior cleaning of buildings"
